PhraseNo,Phrase,IsHateSpeech
1,minissu wenawa inna jathin ape manussayo karala menna wala gothrikayo thunema tika ratawal,YES
2,weda nikan eka daruwan nethi prrsiddath epa thiyena ganna atha elluwada beri oyala bole gaththada desapalanayata oka paduway bat inna karagena nokaran hitahan karanna therum,YES
3,endiyawata ganan unta jathiyata arinne kata ape mukuth witharai ahinsakayant muth anik agamata denawa rate koti na sadda,YES
4,kochchara song lassana nikan kanna epa edapan ewa barinam songs karanna buruwo thiyana sindu ubalata,YES
5,eliyata danne nathi api karanam muth yanawa asadaranakam yanne wachanayak aka kridakayanta ground rata walata set mahela wena akenma nanna hadanna,YES
6,yen ai akkara mahinda maddida valikande nane ogama hmbawnaakkara 1800 sanga karan noth kiyak apita kaururh naoni vada polonnaruve gen apith dun onida dannava den unp danna,YES
7,reddak sinhalen dana meka danna lankawa kiyanna,YES
8,puluwan yaka croatian witharai me bauddayekuta president wenna,YES
9,5k nathi okunta ewun eliye epa aka eken bai elawanna tharam ennawa wada job satha nam oni karanna wadi,YES
10,nathi ekak quality kisi apatayek,YES
11,chande me munta dena rate buruwo thawath innawane,YES
12,kadaya thilangayawa esige hurathal karapan putha henagapiya thota,YES
13,deehan kridawa dawiwaru oi sangata kawe un putuwa yakooo thirisana cricket,YES
14,ekek roy lat ekaa me da hoodana kwda kiyana,YES
15,ekata eka ape thuuu,YES
16,harema dakuna menessuu arthmarthakameeeeeeeeeeee,YES
17,sinhalayo kuhakayo,YES
18,innakam eka majarayo police lankawe political quality karanna baha wage wadi,YES
19,ganun ekak ahisaka wala ta nawath bike 500 ugen wite lami we karayo rs aragena bulath kanna naki dena lanka kagena labba inne police bahapu ne,YES
20,nathi ekak gam una duwana gihilla bothalayata gon kasippu puhunuwak ali walin walatath yata paththata tikak aragena rilau ganja blapalla kisima harak un karayagen office inne police apu hari wrdi nikamata keeyak ne unge,YES
21,wadiyenma ape horu inne tmai polisiya atule,YES
22,danne policeya gena kanno echchari arawa,YES
23,kare tatwat tama rate kalak chance ponnayo giya karapu epa ekai me dora okunat denna nidalle ara aparade dewal vahane un ekek ratakata help serama manussayata maha arinna ne,YES
24,okunge edala ballo ethuru para haththa epa pathali gahanawa akekwath daruwanta hena karanna,YES
25,natara tiyana oluwata ba ahka horu sakilli akada apa gama kiyana ona batuwa ada baluwa kollo waradagan minusu maragann amm puta nikaruna nisai oya bayta wada bollonga maranawa policya kiyann yahpalan ahinsa waditiyala ahama adanwa danna,YES
26,une training horu me koheda,YES
27,thattayaa wagee udauu daa karikii karannee nathywaa mandaa mona mokek innee uuu pissek,YES
28,okunwa kehegahuwata kiyala inne mathara thiyenne bayagullo maraladanna dakune un,YES
29,uda duwanawa hat nodi kata arakahawa dipan meta amatio paw pena lejjai oya karanawa jatika tawa sellam wepan gedara denek sambanda mesinngan hoda dodawana polisiata patalema arun ottu inna pare pattama ekekuta palayan maha,YES
30,dennawat samahara e pirimi arala mun dora enne ara manussaya lankawe veerayek kenek napunsakayo ane inna wahane attatama manussayata pirimida ne,YES
31,aydayak tibbanam bawanawa aprade dennekwath aniwa meyata,YES
32,inna tikath deela wada maranda thiyenne ewun hospital,YES
33,shit dakalat yanawa ara wage ekek na dakke,YES
34,raga tamai palane waha oya,YES
35,mewata waga balu mahajana nasthi baladarin kalakanni mun ekai mudal karana loku okkoma heththa kiyanna ona,YES
36,aewa weradi akke loku unge,YES
37,innakan diunukarana be kalakanni mun wage ratawal,YES
38,thaththala api nathuwa kalaknni salakanne wenwa me thathala duk idala,YES
39,wadina thopi me athmedi hena wage lamainta ona,YES
40,salli ltte gaththa kotiyek kalakanni hamudurowo 2020 me path eken yawala anduwa wenawa ube miniha gedara apith karayek passe oththu sahimakata aththak kiwe,YES
41,thawakalika sathuta oyage weddi windawanna ganna bari uparima wei daraganna winda okata,YES
42,kakul puke athulata cari alayak wesige wesita 2ka huththa me mita sathutak kohila bessuwanam karala wada lebei katu depeththata huththita wesi balu daala miriskudu one arinna,YES
43,ganu sapa wenawamai nindawak lake yamaha tho thota dawasak jatiyatama wadi,YES
44,hethiriyak janadi pathinitakda winasa meki budu lankawe dahama karana ne,YES
45,ane pau apahasa maranna kumarihamita podi karala bella mirikala daruwo ewata mokuth neme thibbe karanna dusanaya na maranawa,YES
46,wadaniya uda ciwarayanata budu painawa nigaru katin danawamai tigae kada kirimata ubda wacanata dittadamna karumae amruwak marapuuna na hari miha hiyanna padisan kiyapu,YES
47,matharamma buddha harima wasthuwakda apra apa gana dukai wanawa gani sundara giya podi karayo cjiwaraya karanawa hinsa baluwah wada rata oita ma koha antha ratak daruwo balla appa,YES
48,balu tenatath wesiyek to toge henagahannaona ammage wadapu wage,YES
49,pau kanthawakata geniyekuta banna me newei maruwath hirihara kireema waradei habai wage kotiyekuge na,YES
50,alawanna ape wenne barademu mun hadamu rata me sinhalayage mokadda mahindata ratata okkoma akathuwemu,YES
51,kiyala hukaganna kiyahan thambiyelta keri wesita,YES
52,padesan okege as denna one panapitama sathuta,YES
53,api henama hinsanayata tota duwanna edata patta gahanawa anduwatai toge wei wesi totai redi gal pare gahapan netuwa lagadima,YES
54,wenawa wendath tho duk unaawagema sathutu,YES
55,thindu henama karapu hotai me gahapiya rajayatai ekatai,YES
56,nehe wesitanm gihin kotinge wenne sidda hodak ata karapan me suppu gahapan cari deka hena wesi,YES
57,neeee danne lokuda huththa,YES
58,usawiyeth theendu desapalana,YES
59,balu hana hatama gahapiya huttita,YES
60,nidahas kanna nethiwa karapan magenguti oya hitan hodaekaawage unansewa,YES
61,karumeta gahala wesiyo akalata haduna,YES
62,yana inna ratak hora meka kade gonnu ganayonta,YES
63,gal gahanna genige me geta lasthiweyalla,YES
64,ewarayi karalla rata mun winasa,YES
65,ponna wasi,YES
66,wenawa maruna api goda aka aknali gana sathutu,YES
67,rate tamai wesa unama nayakaya ohoma ponnayek gahapiya hena genita,YES
68,ira salli hada ltte payanawaneeee munta ratama ako walata wikka eke,YES
69,hedigeviyan engema gedidapn nadukarayage okage paaulama mulu,YES
70,gani wewa ubata shapa koti,YES
71,pala makabawilama wesi paduru,YES
72,pada meeka ekak show,YES
73,balu thoge patawuntath gahapan weesi hena thota,YES
74,henama wesa gahapiya ballita,YES
75,an tiyana tope hodai anduwa,YES
76,wena ekak miniha nathuwa mekita dan aduwak ne,YES
77,baduwa deepan puka wesa nam sathutu,YES
78,ekak jathae genige me kalwam,YES
79,engili la yanna aluth gena thala weni wadaya neethiya saha warada putha lowak pamunuwanna adhikaranaya vinisuran kumata idikatu sithima dena yadamin dethis regena mage nam benda erata danduwam vilangu,YES
80,gahanna unta gihin megala bona tiyenne thamai bus bol eke,YES
81,ponnayo danne inna gahanna aduwa kollekta allan witharai gaman kellek laga,YES
82,ape honda samjeta eka adrshyak harak,YES
83,yako htuwe kiyala aiyo man tpita pisuda atta,YES
84,ape n untath penne amma eduwoth thaththawath kimbak,YES
85,yako puluwan nattiyak api veede yanna kiyala nathawa lisan oka dannawa,YES
86,desapalakayanta karume nathi thama minasata de eka kalakanni samanya danena me penne,YES
87,shampoo dakune nadda,NO
88,idea muladi ekak karala digatama karoth hoda hinawey devole,NO
89,dagena adan yanne kohomai ape handuruvane reddak hadannanam puluvan oka eth,NO
90,yen navatthana police ekkak na,NO
91,market ape kalayak gihin fan ellan rexona kala mathakane un fite,NO
92,hati karapu visthara pahadili madi,NO
93,mahasona eka bn dapuwahama me wagene mokkakda,YES
94,ela mede thawa wadidinu karanna thawath,NO
95,api aiya game gahapan gannaw,NO
96,widihata gahana balamu thama desapalakayo poster ita passe lankawen yawala tikak,YES
97,kese paadam allagannawa eke mama puluwannan karanawa tikak ekakuth shape putu gahagannawa putuwak aniwa nan allala business wethath line,NO
98,wedagth oyala karpu kathwa kiuwath m nm e,NO
99,issek gahapu oshadhi adui wage hama,YES
100,cheeneta naya bala gewamu light oka,YES
101,kana ba dada kama wala hodama thiyanawa aduma apa ona awaga lagatama wanawa thama purudu owata hariyata aka kanda gahanakn athokota camara chuingam hama thiyana ak wath akata dubai wanas na minissu nithi nikamma avith da danna thahanam karanda amarui tharama hadanda,NO
102,mewa puluwan ape thiyaganna widiyata moda ekka thiyana noogathun keedawasak weida,YES
103,hondai mewa ape minisunge karaganida winayath wadenam ekka araksha eth,NO
104,ape aduwata koheta vikunala ona newe genna dala ratata tikawa owa tikak hoda un hadichcha silachara minissu inna dan hari,NO
105,nee onee mokada ekak mukuth dawas giyata deka ne owwa thunak passe ehenm palaweni yanda train dawasema ride,NO
106,wena ekak ape rate kiyala nispadanayak wenne kohen ahanna hari thamai naha genapu ithin gana hamadama,NO
107,puluwan pitin hodata oneda genna onnataran haganna ennawa ekapara oowa gasaganna project lankawe oitawada kutti indiawen weddo,NO
108,kana nam nikan ma paluwa pissu ta arawage natana dala eken army hadeyi unge owa,YES
109,yana badulla hondai kohomada api wage dan kandy me jaffna train dawasawala,YES
110,ape keli okko galawan yanawa un,NO
111,owge ape minisunt wtinakamak eka tyenne thathwen dwsai oya kohed,NO
112,kiyala dewal ne me ganne sure reka gothrika wage ratakata dunnata,YES
113,ki lassanata ohoma dawasak thiyaida,NO
114,nathnm gahala genna kala dawsai dekaii okkoma cctv daweee,NO
115,neth wenawa ape nam unta yanna uganna kala dawi oke,NO
116,wade ape okatath rilawu tika deyi,YES
117,thiya gadai balamu kiyala badulle chu toilat hariyata eleyata train patta mekawath eken ganida eke,YES
118,wagayma wanasana bayraganna hoda ewungayn badu watina,NO
119,watinakama ape laksha gedara diyamanthi chandayaka hari dekai raththaran kamak newei na,NO
120,danne aiya mata parcy aiyata ona mama naya denne ganna witharai me kellek balannako anne nadda nemei karala unama set kaloth unata ane sapak gahala pana katha akka malane a thamai,NO
121,ekeknam gahana mehema ba poster raththaran ekek wenna,NO
122,ahuwa bawth wadenawa ahuwe nm sarddawakin theruma sraddwth anubawa labenawamai aniwryenma ochchara labenawa avobathmaka sadu aa pihitana hitiye hitha kiynakota pirith paliyenui sinahalenuii neme nisa na kusalayka danan thiyenawa pirithehi kal hinda dekenma,NO
123,pirtiha sathya nowa yanu bamuno manthara gana pihitanne pihitanna pamanai,NO
124,wewa kalyana kupitha uwanta saranai deergau kamin mithrainwahanselata theruwan kuhaka,NO
125,jothishyta ekata kiwwe foto cover karana loku athi wenna oba ohoma swamanin jothishya nisa kenek nam wiruddai wahanse ow a oni anuwa,NO
126,ape tenakata api ona jivite dahama nodenima amuthuma sadu rekaganna geniyanawa,NO
127,aththatama danenawa kiyala sinhalada kauru widiyata me pudumakara mona meka dakkath ahagena hithen sahalluwak innakota hithata palida na,NO
128,yana dakkahama de bara desapaluwanta ennawa terena ekai wahallu kade meke gaaanak comment kiyana tamat akama,YES
129,athin eka gena bihikarapu sertificates aththatama demawpiyan e lamay genna uthsawayakata ganna dennath igena amathi sahathika school manthri wada hoday kisima dena na tharamatawath waru ekaka narakay ita thamanwa genwanawa,NO
130,wenawa mewa awathawak waradi enawanam gammak politics vinda ganna hada eka eken ena dara bawath,NO
131,chandi kara award 1k nathuwa mun ganna da nattam welawak karana oka rastiyadu newei naluwo picatin,YES
132,innawanam nogena newaradi tibuna ehema epa nati organised karala wada kamati news kenek inna vidiyata samana kerrnna one karanna hadanna,NO
133,parliment deshapalakayin eka dedena thibeda prathipaththiyak prashnayak anek ayeki kalaawata baladdai ratata laankeeya kala namuth hadupu amila saadeemata gos aththe awashya yanu mendis othana hoda ekka owun dedenath sriyantha shriyantha na inna sewayak prathipaththi yodhayek,NO
134,kalakarayek othenta kama pennane wadak tama n mun meta penwanne oya wenna owa wada unama lokuma rasikayontah desapalane moda a nihathamai one,NO
135,narakak harima meeta ta gunagaruka meyala ge lage athi oya kale wenna oney namuth oyala deshpalana mehema apey wath wada aththtama pradharshanaya kanagatui neme gammanpila nah kiyanna gatalu niyama duminda manasikathwaya vidiyata kalakaruwo hasirenne kawadawath sinhalayan gewath pahath oyalagema puluwanda,NO
136,ranil ai dunne name kiyalath aya aradana golayek prasnayak karate late wenna methana hugely ok thiyenne sannasgalage kiyanawa muu desapaluwanta a ganiwi ganga,YES
137,ihala kalaavek karuvekuta talaye kalaa athini pirinemiya iita sammaanayak yuththe,NO
138,beri yako sammana puthiii wenas dennee kawda aduraganna munta a deka deshapalanayai manussakamai,YES
139,niduk erabena wewa subama maliya nirogi suwapiri wasarak suba upandinak,NO
140,kirieema sabawaka sundarathwaya wenai kiyanne kam ba misak kama kalawa neme karanna anumatha kuhaka deshapalanaya,YES
141,kondak uda dakka aththatama pol wenta me dala loku athi thibbata horekuta wage thiyana dennek unta horunta gediyak banala sathutui un na gahala kadapu godak game erehi comment,NO
142,weleta awasa thaneketa awath penawane hati uthsawa desapaluwo epa nagitinna parlimenthuwe in na,NO
143,yana manussayo api vidihatai eka nihathamani katha waire ganim pennanna hari penne mona oni pali wenna dekarath,NO
144,thamayy giyasereth kelawune nisaa mahindage mahindata golayo,YES
145,oba attatama mahinda lajjai tumawa aiyooo tika nati kala golayo,YES
146,minissu parlimentu yannne mun aehema broo hitiya nam,NO
147,denneeeee salli ape monatada nasthi api karanne mun me munta meva bale karanna nati pissu,YES
148,wela miti relata gihin eka wal badagini atakota dahalla kapala 225 oya harak enaganna nawttaganiivi,YES
149,hithenava pau duka venuven api thamun ganavath vadakarannane harima kapaveema me karana dena 225 dagalanne dakkama nositha gutikagena,NO
150,mudalata adareta pagawal keli rata ganna winasa ratak me karanna balayata wikunanna ratata rate hadanne nethi newei serama,YES
151,ralak ekak la damn eka horu keneck waste situation yakku say billons rate nethi people development occasion ona ashamed thama kiyala podi o rataka dupath ekai me asanethe kalakani karana disciplined busking bugaboos mewage hama level awila ganan pass ahinsaka wath wosrt ma ahumwa nondi deyakma lankawe s kisima budimath ethics wena nene shit inna citizens i guest nugath money ratak minissunta a musala auspicious occurred koti yakkunta government,YES
152,mewa ennada ape rate palakayone rata bn balanakota lajjai me kawada goda aththatama itin,YES
153,ane randuwenawanam mehema parliment heta yanna epa please wennako tharame aduma adarshamath lejjai,NO
154,sahana buudalayak pawugalika danvat kpana blayata kra me dagalanne munge ayalage mahajanthavani sudussan kageda kaaadara rata molaya paliment kamata dennada nee needa yavanna pamnk nemai janthavata,YES
155,nane loke shik rate daki e gihin kusalayata me karana kusalayak nathiwai niwanuth oka ekek karannna diwiyaloke ammapa samana thawa uwa appa karanna,YES
156,unata innawanam hodaida koitharam hamadema ehema parliment pitathadi dakimath yaluwo sathutak eke nikam,YES
157,wenawa bala idimu dewal apuwahama upekshawen balayata sadachara kamak athi un nethi mewage nuugath,YES
158,niyama ape sha hari kattiyatath wadak kalanm,YES
159,oyaga una horu dunana nmuth hour mhatayata dunbar koranta it bank chanda rail tame akata wada klalin central wanuvan minisu a magma,YES
160,kohoma and niyama karanawanam hari onna wadak,YES
161,ban eka sira nam kathawa,YES
162,nethuwa miniha merenne oxygen ara,YES
163,ahu kiyala una inne ltte hithan karayek un policiye,YES
164,ekata trend wage den polis hora ewilla podikale,YES
165,unaa giya eka 4 noheki hatharak simawata reka genimata,YES
166,rugby mama lokkath police gahapu hithanne ara ekek,YES
167,kenekds kohoma si tackle kara eka hari patta try koheda,YES
168,suddage ekak ruger thibbanam maru athe ball,YES
169,yana ahinsaka minihak munta bila alla ganda tama puluwanne,YES
170,awwilla policeyama yako galu,YES
171,krla hdma nha enna mahindatath manta gnna nm gaththe thiyena admin kamthima ponil kn eth thirane kamathi apith wdk lokka katha unp,YES
172,thama de karapu weradinam hodaine me one kage prathipaththi tika ithin unath wenna,YES
173,salli ape tharam prasnaya nahe one karanna thawa kisi thiyenawa rate kabasiniya,YES
174,monaratakawath chandayak awashshmanatha nathuwa vihilu meeta lankawe athi pasu mewage,YES
175,wena dunu apassata ugayata meyala pls yanna epa yannna lokaya situwam kale hadanne seegiri nawata,YES
176,miniyek eka ekai munta madi,YES
177,best inna wada wala munta europe suddiyo,YES
178,mewa salli hoyanawa jarawak danawa oii karala views deyak ganna wadagath athi thamuselath dala wadak ratata monawada ona,YES
179,nathi prashnane unta thiyenne apu denatawath meke karanna un comment,YES
180,kochchara salli samajeta penawa wadak badina witharai me hasini karanawa haadakam kiyagena wadagath hoda ekka ekek na ekita wena awata video dawase ekenma,YES
181,vitharak aei viruddawa block kiyanne walang wedasatahane kale bindhe filltita hashiniwai gedara medda cumens oke therumada filltiwai palu hari awa genella,YES
182,yako ekak filt hammeeee marketing gei hasini ting meee song,YES
183,marai thama pattama bn meka hakiyawa hiniyta dena umbe kindi yakooo,YES
184,danne sellamak ekak una heta wachne eka ba lassana pina anuwa gewannath jeewitheth jeewithayak danma meyalage meyalata jeewithayath kiyana e jeewitha ona instant ada nasthi meyala giya divorce karapu hariyata noodles ganna therum me theeranaya gewanne 30k idiri vivahaya wage banda yaddi therei wei niraparade pawl na unata awrudu hari thawa pawak karmayata therumawath thiyenna athme,YES
185,mokada kumara kiyala kiyanne ma wediyenma sihinaya ekane me tittle demmanam ekath nubhe hodai dapu song eke sansara,YES
186,obalaata baluwe gamn kaama aatmayaka goodak mama kanin raajiyata pin weewaa poohoodina upadina kmid unaa dansala budusaranaii rajikma pramaada amatitumani karanna,YES
187,agaya wetath wade nathi ahai kese api mahaththayo danayak mokak uthum sathayak watenawa ada kiyala 100k aeth karapo rs kotiyak 100th karanawa kala palanaya yate wath pawol 100kin karnnada welewe ae innawa desha aramuna mokada de samaharu naha athara adala,YES
188,dannsala kare ahisaka eke madi n ethi dansal me palaweni thiyapu wenna kota badumkara unta mudal passe thaniyama dena kawe un kamak dansala p dansalin janathava u hithata badam ne,YES
189,oyaga una horu dunana nmuth hour mhatayata dunbar koranta it bank chanda rail tame akata wada klalin central wanuvan minisu a magma,YES
190,hitiye nathi sobitha wahanse de eka deyak un me num hodai loku hamuduruwo athakin dakke,YES
191,pitin kohomath gihi budda wala r kiyanne agamak dala wa tiye terrorists pana thyna thopila a tharsthawadi islam ithin one not ne,YES
192,yanna thopila kalakanni hedigewila hamba one heththa,YES
193,aulak kalaya bangladesh wenasak kisima walata kerala na,NO
194,gaththeth thama mun ltte ayudha thibba,YES
195,ekak dan thawa wei add okata,NO
196,7k karapu sawiyak me ipaden asarana piditha atma kamin diwyaloke wede meweni udgalaynt wemu wedak,NO
197,amathaka raju ai rawana rajathumekada srestsa maha monatharam minissune,NO
198,garu ethana ape agamakatama pawathma thamai kireema hama sanskruthiyakatama,NO
199,loketama ballo ape penvanakota vala deval avajaathaka ratavala danena vena ayata vatinakama passa,YES
200,minissu aluthgamadi hambena kaduna ekata karapu udaw ati me thawa wagema slow welawe train boy,NO
201,ekak 50 eka hariyatama gana dawasak kiyanne eke walin galawila athdakimen ena 5 brake crosing nawatune bar clmbo mamanm galu express train balapitiyedi,NO
202,mn danne kiyannanm dunne eka eda kauda eke e thama ringagena kage yata gatagahala manussaya habi manussayek na ethana idapu hitiya,NO
203,eyata mahathwaru kiyala hitapu epa na elewwe edath train eke e,NO
204,kiyanna kiyala be budusaranai rataka anagathedi malli lankawa ayata tiyeida oya wage thanak,NO
205,ape honda hati eka wadak e epa ganna me kiyai eken beri minissunge ganan hadapu kiyanna minissu terum de katha video moda,NO
206,kiymu ape kiyamu ehema suddanta anek wenne rata enna balnna like lankawe unath nea ratawala,NO
207,mewa buddagama than eka dakkanna niwan tikak tama amanussayo waraddagatta puluwanda paratama,YES
208,thaththata unath kopamana gedarata gihin salakanne rajgama nowei balaapiya u amma pako watakolu boru patholawage daksha,YES
209,gal wadina ape thama gotthrikayo unwa un gas baha rate enne walata hadanna,YES
210,drivers la pe nugat a lankawa samahara nisa chatar,NO
211,minissu nee innawanam puja wenne bumiya hithana mee geana minihek thawath apirisidu,NO
212,lamaei hadana gahala ape maranna ethin mehema doctors kohen rata campus lata da ta rate enne wasanawak ne,YES
213,ban naganne mehema ai sira,NO
214,danne ape tharamatama kanagaatui kam gunayahapath ne mokak lankawe weida mokakin aa adui mewage unanam kiyanna,NO
215,ape bi hitapu rata aka wahana aran awidinawa petrol meka nobi kelinawa pissu,NO
216,mahajanayage salli ape niyama anna walin ekata witharai ganna aya lamai igena udgoshana,NO
217,minis inna kiyala tamai wesin budu saranai ayata deviwaru may obata kiyanne,NO
218,oyata rakiyawata galapena adahuwath saranai mona agamak hariyatama oya kenek theruwan,NO
219,dalada pihitai obata samidu,NO
220,aun ekata menna idamma kama lankaw munge kello loku age,NO
221,yatin wenawa p giriya gahana kawda eka epa oi me ka,YES
222,duka godak sathutu ayagana hithuna wagema mewage gadak e,NO
223,jeewitha ai apayak karaganne wasa tharuna jeewithe me anathureda keeyak kala,NO
224,lassana kare nikan sinduwatath liyatabara karawanawa barinam kanne sinduwak mekkami kiyala epa mun oi innawako me mu wage sindu monna hoda karaganna hutthakda nathuwa thmanta,YES
225,salli ape ekak hambenawa ekata nane tour betting enawa ewunwa palenakan walin arawain oi ekakatama loku ena enne hama cricket foreign board thibunama lankawe tickets ekane mewain yawwe ganak,NO
226,lakawa salli walin idagena board karawala ekata habai hambenne ea hari betting athi mu parada hambakaranawa cricket na,YES
227,oba inna wena ape nayakayek deshapaluwo tharuna eka adambarai naki rate gana wage,NO
228,minissu drohiyek oyata illagena salakai godak api tamai kanna epa mahattaya vidihata ath adarei oyatath hadanna,NO
229,mahinda kama apinam mahida maththayata sinhala chance mama mathayata sinhalaye denne ekai dipan chande raka sinhalayo gannanam oda marenakan,NO
230,mewa khomada weda serisena hora kos gana yanawa deshapalane sarayak gaththata mun lawa aka bawanawa karapetin krikat mekata karanne ata kanawa dana anunge un ponseka ballallu moda thawa keyanne,NO
231,watinawa ape wasthuwak enna wadinnam desapalanetanam aya watina sanga mhaththayo epa lowak oya mahsththayo atha wada bha ane gaurawe sakkarayatawath ita lankawa hadanna gourawaya sago,NO
